,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,lot1_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
907766,2020-379773,2020-05-28,1,Vente,293500.0,2.0,PL DU MARENSIN,0575,40530.0,40133,Labenne,40,40133000AL0297,10.0,1,2.0,Appartement,87.0,5.0,J,jardins,100.0,-1.42534,43.592669
487178,2020-195097,2020-07-31,1,Vente,31000.0,7.0,RUE DES CITES CHAMPART,0470,25110.0,25047,Baume-les-Dames,25,25047000AN0251,4.0,1,2.0,Appartement,55.0,2.0,J,jardins,238.0,6.363504,47.341553
2213878,2020-941597,2020-03-06,1,Vente,370000.0,14.0,RUE DE NORMANDIE,1680,91140.0,91661,Villebon-sur-Yvette,91,91661000AB0552,2.0,1,1.0,Maison,88.0,7.0,S,sols,87.0,2.211542,48.700461
1270825,2020-526050,2020-05-22,1,Vente,152800.0,66.0,RUE ALAIN FOURNIER,0065,53000.0,53130,Laval,53,53130000CM0933,54.0,1,1.0,Maison,71.0,4.0,S,sols,431.0,-0.788507,48.07283
669327,2020-274929,2020-12-28,2,Vente,1000000.0,79.0,RUE ABBE DE L EPEE,0015,33000.0,33063,Bordeaux,33,33063000KX0125,2.0,1,2.0,Appartement,27.0,2.0,S,sols,16.0,-0.583085,44.842165
271767,2020-119235,2020-01-27,1,Vente,254590.0,10.0,RUE DE MANDON MOULES,2877,13200.0,13004,Arles,13,13004000HW0326,1.0,1,1.0,Maison,99.0,5.0,S,sols,315.0,4.745392,43.655948
110783,2020-48831,2020-06-08,1,Vente,300000.0,401.0,CHE DU CAYRE,0013,6340.0,6031,Cantaron,6,060310000A1360,1,1,2.0,Appartement,110.0,3.0,S,sols,292.0,7.302467,43.75853
1572389,2020-659265,2020-01-22,1,Vente,91725.0,14.0,RUE DU COLONEL GLOXIN,1000,64000.0,64445,Pau,64,64445000CD0105,1.0,1,2.0,Appartement,47.0,2.0,S,sols,25.0,-0.379446,43.291627
1719202,2020-723216,2020-04-21,1,Vente,170000.0,4.0,RUE SAINT JEAN,0385,72300.0,72061,La Chapelle-d'Aligné,72,72061000AB0450,2.0,1,1.0,Maison,152.0,4.0,S,sols,85.0,-0.235815,47.732337
282158,2020-123720,2020-07-11,1,Vente,215000.0,23.0,RUE DE CAUMONT,0260,14510.0,14338,Houlgate,14,14338000AB0058,1.0,1,1.0,Maison,59.0,4.0,S,sols,115.0,-0.083075,49.298272
2314064,2020-993434,2020-02-24,1,Vente,255000.0,50.0,RUE NOEL,6630,94600.0,94022,Choisy-le-Roi,94,94022000AS0038,1.0,1,2.0,Appartement,45.0,3.0,S,sols,70.0,2.423048,48.766596
861241,2020-358978,2020-10-16,1,Vente,74000.0,53.0,RUE VICTOR HUGO,1330,37600.0,37132,Loches,37,37132000AT0227,1.0,1,1.0,Maison,81.0,3.0,S,sols,225.0,0.99729,47.132068
1813538,2020-766805,2020-10-20,1,Vente,241000.0,4.0,RUE DES TILLEULS,0640,77930.0,77069,Chailly-en-Bière,77,77069000AM0172,9.0,1,1.0,Maison,116.0,5.0,S,sols,243.0,2.605778,48.466231
95260,2020-40797,2020-12-15,1,Vente,323950.0,996.0,RTE DE LEVENS,0037,6690.0,6147,Tourrette-Levens,6,061470000A0429,1,1,1.0,Maison,90.0,5.0,S,sols,49.0,7.267358,43.807151
607080,2020-247809,2020-05-13,1,Vente,211000.0,34.0,RUE DU PRINTEMPS,7140,31000.0,31555,Toulouse,31,31555823AB0176,4.0,1,2.0,Appartement,30.0,2.0,S,sols,48.0,1.444685,43.614251
2317533,2020-995453,2020-07-09,1,Vente,297000.0,36.0,RUE DENIS PAPIN,2525,94200.0,94041,Ivry-sur-Seine,94,94041000AP0039,8.0,1,2.0,Appartement,53.0,2.0,S,sols,150.0,2.394382,48.813533
2328910,2020-1001511,2020-08-03,1,Vente,351000.0,4.0,ALL BOSSUET,0084,94430.0,94019,Chennevières-sur-Marne,94,94019000AX0049,4.0,1,1.0,Maison,98.0,4.0,S,sols,204.0,2.530122,48.78797
1818466,2020-768905,2020-12-07,1,Vente,136250.0,1.0,RUE GALILEE,0373,77380.0,77122,Combs-la-Ville,77,77122000AK0293,187.0,1,1.0,Maison,100.0,6.0,S,sols,254.0,2.573663,48.653454
912256,2020-381568,2020-07-10,1,Vente,174400.0,1.0,RUE DU SPORTING,0333,40510.0,40296,Seignosse,40,40296000AT0081,3.0,1,2.0,Appartement,36.0,3.0,S,sols,28.0,-1.43537,43.699989
1645370,2020-694328,2020-05-19,1,Vente,289000.0,1.0,RUE DU COLIBRI,0044,69290.0,69094,Grézieu-la-Varenne,69,690940000A1877,29,1,2.0,Appartement,75.0,3.0,AG,terrains d'agrément,196.0,4.695419,45.7478
138820,2020-61586,2020-03-09,1,Vente,490000.0,12.0,IMP DES PALOMBIERES,2385,6800.0,6027,Cagnes-sur-Mer,6,06027000AZ0050,2.0,1,2.0,Appartement,75.0,2.0,S,sols,762.0,7.167591,43.664749
598856,2020-244537,2020-07-15,1,Vente,242500.0,148.0,RUE GRAND RUE,0160,30270.0,30269,Saint-Jean-du-Gard,30,30269000AB0077,22.0,1,2.0,Appartement,51.0,2.0,S,sols,146.0,3.882938,44.106924
2340057,2020-1007197,2020-09-17,1,Vente,404000.0,11.0,VLA DU BEL AIR,0702,94500.0,94017,Champigny-sur-Marne,94,94017000AN0170,3.0,1,1.0,Maison,72.0,4.0,S,sols,48.0,2.489647,48.814269
2010831,2020-856904,2020-07-29,1,Vente,212850.0,75.0,ALL DES ROSES,0469,84130.0,84092,Le Pontet,84,84092000AB0001,1004.0,1,1.0,Maison,108.0,5.0,S,sols,415.0,4.878826,43.963023
1304409,2020-539816,2020-06-08,1,Vente,500000.0,45.0,RUE DE L YRON,0840,54800.0,54273,Jarny,54,54273000AC0295,1.0,1,2.0,Appartement,41.0,2.0,S,sols,561.0,5.864268,49.164642
2216575,2020-943037,2020-09-26,1,Vente,255000.0,41.0,DOM DE VILLEJUST,A100,91140.0,91666,Villejust,91,91666000AA0264,5.0,1,1.0,Maison,50.0,3.0,S,sols,118.0,2.237531,48.682533
1638159,2020-691104,2020-09-03,2,Vente,823200.0,62.0,CHE DU TAFFIGNON,1040,69110.0,69202,Sainte-Foy-lès-Lyon,69,69202000AX0004,2.0,1,4.0,Local industriel. commercial ou assimilé,27.0,0.0,J,jardins,740.0,4.777456,45.727394
1993936,2020-847863,2020-09-28,1,Vente,555000.0,146.0,RUE AMIRAL DE GRASSE,0015,83220.0,83098,Le Pradet,83,83098000BB0077,2.0,1,1.0,Maison,160.0,6.0,S,sols,767.0,6.026643,43.091479
135497,2020-60150,2020-06-29,1,Vente,597980.0,2470.0,RTE METROPOLITAINE 18,0003,6640.0,6122,Saint-Jeannet,6,06122000AP0178,1.0,1,2.0,Appartement,91.0,3.0,AG,terrains d'agrément,958.0,7.147722,43.739683
279636,2020-122517,2020-01-21,1,Vente,770000.0,52.0,AV F DE KERGORLAY,0210,14800.0,14220,Deauville,14,14220000AC0512,216.0,1,2.0,Appartement,68.0,3.0,AG,terrains d'agrément,170.0,0.069387,49.351374
625265,2020-256662,2020-05-14,1,Vente,225800.0,31.0,IMP VERCORS,1773,31600.0,31395,Muret,31,31395000IC0184,1.0,1,1.0,Maison,88.0,4.0,S,sols,325.0,1.315435,43.455172
494847,2020-198889,2020-04-28,1,Vente,200000.0,9.0,CLOS DES VIGNERONS,A020,26600.0,26347,Tain-l'Hermitage,26,263470000E0634,25.0,1,1.0,Maison,101.0,5.0,S,sols,489.0,4.850041,45.069167
918983,2020-384194,2020-09-25,1,Vente,495000.0,27.0,RUE DOUBERT,1361,40130.0,40065,Capbreton,40,40065000AP0091,2,1,1.0,Maison,65.0,4.0,S,sols,483.0,-1.433722,43.649528
925391,2020-386880,2020-11-30,1,Vente,346770.0,51.0,AV DE LA MARQUEZE,0245,40510.0,40296,Seignosse,40,40296000BE0048,4,1,1.0,Maison,47.0,2.0,J,jardins,81.0,-1.424407,43.709962
1846238,2020-780953,2020-08-21,1,Vente,392750.0,44.0,RUE DES LAMBUIS,0540,77400.0,77155,Dampmart,77,77155000AE0087,2.0,1,1.0,Maison,127.0,7.0,J,jardins,527.0,2.746723,48.887397
321357,2020-137326,2020-04-29,1,Vente,188600.0,5.0,RUE HENRY BORDEAUX,4050,17000.0,17300,La Rochelle,17,17300000BR0001,79,1,1.0,Maison,91.0,6.0,S,sols,374.0,-1.189422,46.169637
1813625,2020-766848,2020-10-19,1,Vente,285000.0,8.0,ALL RACINE,1330,77220.0,77215,Gretz-Armainvilliers,77,772150000D1628,53.0,1,1.0,Maison,102.0,5.0,S,sols,352.0,2.729141,48.743067
1882480,2020-798344,2020-12-09,1,Vente,682776.0,6.0,ALL DES MESANGES,1507,78600.0,78358,Maisons-Laffitte,78,78358000AW0014,7.0,1,1.0,Maison,90.0,4.0,S,sols,220.0,2.129618,48.944375
1646104,2020-694644,2020-06-30,1,Vente,348000.0,11.0,AV DE LA POTERIE,0360,69890.0,69250,La Tour-de-Salvagny,69,69250000AD0100,48,1,2.0,Appartement,75.0,3.0,AG,terrains d'agrément,99.0,4.716653,45.815774
763867,2020-316579,2020-06-26,1,Vente,105000.0,4.0,IMP MARIE CELESTE,1441,34300.0,34003,Agde,34,34003000MW0009,101.0,1,2.0,Appartement,30.0,2.0,AG,terrains d'agrément,18.0,3.492704,43.277526
2002987,2020-852932,2020-08-18,1,Vente,520000.0,3351.0,ANCIEN CHEM DE TOULON,1219,83110.0,83123,Sanary-sur-Mer,83,83123000AM0679,2.0,1,1.0,Maison,90.0,4.0,S,sols,928.0,5.787018,43.135825
108694,2020-47929,2020-01-08,1,Vente,292000.0,996.0,RTE DE LEVENS,0037,6690.0,6147,Tourrette-Levens,6,061470000A0429,4,1,1.0,Maison,140.0,5.0,S,sols,335.0,7.267358,43.807151
1797456,2020-759809,2020-03-02,1,Vente,215000.0,6.0,RUE DE LA ROCHETTE,1490,77000.0,77288,Melun,77,77288000AZ0301,2.0,1,2.0,Appartement,90.0,3.0,AG,terrains d'agrément,191.0,2.656872,48.53234
1473699,2020-618558,2020-01-28,1,Vente,50000.0,16.0,RUE LOUIS BLANC,0470,60160.0,60414,Montataire,60,60414000AV0171,29.0,1,4.0,Local industriel. commercial ou assimilé,51.0,0.0,AB,terrains a bâtir,15.0,2.447326,49.255834
131987,2020-58790,2020-09-28,1,Vente,587500.0,95.0,VCHE VIEUX CHEMIN  SAINTE ANNE,4621,6130.0,6069,Grasse,6,06069000HK0473,1.0,1,1.0,Maison,168.0,4.0,AG,terrains d'agrément,1316.0,6.899154,43.642305
1137546,2020-474937,2020-06-12,1,Vente,182000.0,6.0,RUE ALBAN MARIE,0024,47300.0,47323,Villeneuve-sur-Lot,47,47323000ET0303,3.0,1,1.0,Maison,50.0,3.0,S,sols,176.0,0.714536,44.407445
281945,2020-123633,2020-06-25,1,Vente,126000.0,8.0,RUE DE NORMANDIE,0560,14160.0,14225,Dives-sur-Mer,14,14225000AH0173,4.0,1,1.0,Maison,64.0,3.0,S,sols,225.0,-0.107493,49.283055
